- - - - - - - experiments/1_class/10_in_clusters.argos experiments/1_class/10_in_lines.argos experiments/1_class/3_in_clusters.argos experiments/1_class/3_in_lines.argos experiments/1_class/4_in_clusters.argos experiments/1_class/4_in_lines.argos experiments/1_class/5_in_clusters.argos experiments/1_class/5_in_lines.argos experiments/1_class/6_in_clusters.argos experiments/1_class/7_in_clusters.argos experiments/2_class/10_in_clusters.argos experiments/2_class/10_in_lines.argos experiments/2_class/3_in_clusters.argos experiments/2_class/3_in_lines.argos experiments/2_class/4_in_clusters.argos experiments/2_class/4_in_lines.argos experiments/2_class/5_in_clusters.argos experiments/2_class/5_in_lines.argos experiments/4_class/10_in_clusters.argos experiments/4_class/10_in_lines.argos experiments/4_class/12_uniform_0.05_density.argos experiments/4_class/12_uniform_0.10_density.argos experiments/4_class/12_uniform_0.20_density.argos experiments/4_class/16_uniform_0.05_density.argos experiments/4_class/16_uniform_0.10_density.argos experiments/4_class/16_uniform_0.20_density.argos experiments/4_class/20_uniform_0.05_density.argos experiments/4_class/20_uniform_0.10_density.argos experiments/4_class/20_uniform_0.20_density.argos experiments/4_class/3_in_clusters.argos experiments/4_class/3_in_lines.argos experiments/4_class/40_uniform_0.05_density.argos experiments/4_class/40_uniform_0.10_density.argos experiments/4_class/40_uniform_0.20_density.argos experiments/4_class/4_in_clusters.argos experiments/4_class/4_in_lines.argos experiments/4_class/5_in_clusters.argos experiments/4_class/5_in_lines.argos 
10 -1.0000 -1.0000 -1.0000 -1.0000 -0.6667 0.0000 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2366623484.667 1971698330.829 416666979.506 472008975.062 1149135952.814 -47395995.067 837498440.347 1076237105.022 677191417.625 599341484.477 -209638100.191 48861043.725 99950605.573 38942982.870 -6337168.016 198313241.441 325989841.675 404889097.900 330047270.268 44378668.833 -3571888.204 850585496.492 673412101.563 740229238.734 178243135.371 163869525.374 304583407.533 297279914.766 
11 -1.0000 -1.0000 -1.0000 -1.0000 -0.6667 0.3333 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2366623484.667 1971698330.829 416666979.506 472008975.062 1149135952.814 -47395995.067 837498440.347 1076237105.022 677191417.625 599341484.477 -209638100.191 48861043.725 99950605.573 38942982.870 -6337168.016 198313241.441 325989841.675 404889097.900 330047270.268 44378668.833 -3571888.204 850585496.492 673412101.563 740229238.734 178243135.371 163869525.374 304583407.533 297279914.766 
12 -1.0000 -1.0000 -1.0000 -1.0000 -0.6667 0.6667 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2366623484.667 1971698330.829 416666979.506 472008975.062 1149135952.814 -47395995.067 837498440.347 1076237105.022 677191417.625 599341484.477 -209638100.191 48861043.725 99950605.573 38942982.870 -6337168.016 198313241.441 325989841.675 404889097.900 330047270.268 44378668.833 -3571888.204 850585496.492 673412101.563 740229238.734 178243135.371 163869525.374 304583407.533 297279914.766 
13 -1.0000 -1.0000 -1.0000 -1.0000 -0.6667 1.0000 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2366623484.667 1971698330.829 416666979.506 472008975.062 1149135952.814 -47395995.067 837498440.347 1076237105.022 677191417.625 599341484.477 -209638100.191 48861043.725 99950605.573 38942982.870 -6337168.016 198313241.441 325989841.675 404889097.900 330047270.268 44378668.833 -3571888.204 850585496.492 673412101.563 740229238.734 178243135.371 163869525.374 304583407.533 297279914.766 
14 -1.0000 -1.0000 -1.0000 -1.0000 -0.3333 -1.0000 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2445936269.375 2161429929.540 407802394.168 -40982801.981 741118653.628 539361593.610 1246624528.202 936788567.679 697451065.979 609047484.477 -154598475.117 79369647.742 130350286.114 162653134.069 227728475.338 225174633.113 261703066.264 269871886.723 302210959.827 7685716.437 101763877.182 727153743.867 729668255.491 623347611.677 346278050.612 11074907.231 291107106.206 374605270.742 
15 -1.0000 -1.0000 -1.0000 -1.0000 -0.3333 -0.6667 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2445936269.375 2161429929.540 407802394.168 -40982801.981 741118653.628 539361593.610 1246624528.202 936788567.679 697451065.979 609047484.477 -154598475.117 79369647.742 130350286.114 162653134.069 227728475.338 225174633.113 261703066.264 269871886.723 302210959.827 7685716.437 101763877.182 727153743.867 729668255.491 623347611.677 346278050.612 11074907.231 291107106.206 374605270.742 
16 -1.0000 -1.0000 -1.0000 -1.0000 -0.3333 -0.3333 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2445936269.375 2161429929.540 407802394.168 -40982801.981 741118653.628 539361593.610 1246624528.202 936788567.679 697451065.979 609047484.477 -154598475.117 79369647.742 130350286.114 162653134.069 227728475.338 225174633.113 261703066.264 269871886.723 302210959.827 7685716.437 101763877.182 727153743.867 729668255.491 623347611.677 346278050.612 11074907.231 291107106.206 374605270.742 
17 -1.0000 -1.0000 -1.0000 -1.0000 -0.3333 0.0000 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2445936269.375 2161429929.540 407802394.168 -40982801.981 741118653.628 539361593.610 1246624528.202 936788567.679 697451065.979 609047484.477 -154598475.117 79369647.742 130350286.114 162653134.069 227728475.338 225174633.113 261703066.264 269871886.723 302210959.827 7685716.437 101763877.182 727153743.867 729668255.491 623347611.677 346278050.612 11074907.231 291107106.206 374605270.742 
18 -1.0000 -1.0000 -1.0000 -1.0000 -0.3333 0.3333 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2445936269.375 2161429929.540 407802394.168 -40982801.981 741118653.628 539361593.610 1246624528.202 936788567.679 697451065.979 609047484.477 -154598475.117 79369647.742 130350286.114 162653134.069 227728475.338 225174633.113 261703066.264 269871886.723 302210959.827 7685716.437 101763877.182 727153743.867 729668255.491 623347611.677 346278050.612 11074907.231 291107106.206 374605270.742 
19 -1.0000 -1.0000 -1.0000 -1.0000 -0.3333 0.6667 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2445936269.375 2161429929.540 407802394.168 -40982801.981 741118653.628 539361593.610 1246624528.202 936788567.679 697451065.979 609047484.477 -154598475.117 79369647.742 130350286.114 162653134.069 227728475.338 225174633.113 261703066.264 269871886.723 302210959.827 7685716.437 101763877.182 727153743.867 729668255.491 623347611.677 346278050.612 11074907.231 291107106.206 374605270.742 
20 -1.0000 -1.0000 -1.0000 -1.0000 -0.3333 1.0000 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2445936269.375 2161429929.540 407802394.168 -40982801.981 741118653.628 539361593.610 1246624528.202 936788567.679 697451065.979 609047484.477 -154598475.117 79369647.742 130350286.114 162653134.069 227728475.338 225174633.113 261703066.264 269871886.723 302210959.827 7685716.437 101763877.182 727153743.867 729668255.491 623347611.677 346278050.612 11074907.231 291107106.206 374605270.742 
21 -1.0000 -1.0000 -1.0000 -1.0000 0.0000 -1.0000 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2485793833.688 2322656345.463 151682296.261 353249367.582 1093582115.050 926972672.776 959467418.705 1174324827.585 727303752.101 677932281.810 130441965.952 -62372292.990 66067817.508 375918193.564 172177086.557 124132936.450 340786250.955 266773947.405 263339198.349 33668884.577 24320228.850 720865256.991 542373197.092 611514385.063 270563029.998 153068582.913 287504371.191 310665339.015 
22 -1.0000 -1.0000 -1.0000 -1.0000 0.0000 -0.6667 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2485793833.688 2322656345.463 151682296.261 353249367.582 1093582115.050 926972672.776 959467418.705 1174324827.585 727303752.101 677932281.810 130441965.952 -62372292.990 66067817.508 375918193.564 172177086.557 124132936.450 340786250.955 266773947.405 263339198.349 33668884.577 24320228.850 720865256.991 542373197.092 611514385.063 270563029.998 153068582.913 287504371.191 310665339.015 
23 -1.0000 -1.0000 -1.0000 -1.0000 0.0000 -0.3333 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2485793833.688 2322656345.463 151682296.261 353249367.582 1093582115.050 926972672.776 959467418.705 1174324827.585 727303752.101 677932281.810 130441965.952 -62372292.990 66067817.508 375918193.564 172177086.557 124132936.450 340786250.955 266773947.405 263339198.349 33668884.577 24320228.850 720865256.991 542373197.092 611514385.063 270563029.998 153068582.913 287504371.191 310665339.015 
24 -1.0000 -1.0000 -1.0000 -1.0000 0.0000 0.0000 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2485793833.688 2322656345.463 151682296.261 353249367.582 1093582115.050 926972672.776 959467418.705 1174324827.585 727303752.101 677932281.810 130441965.952 -62372292.990 66067817.508 375918193.564 172177086.557 124132936.450 340786250.955 266773947.405 263339198.349 33668884.577 24320228.850 720865256.991 542373197.092 611514385.063 270563029.998 153068582.913 287504371.191 310665339.015 
25 -1.0000 -1.0000 -1.0000 -1.0000 0.0000 0.3333 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2485793833.688 2322656345.463 151682296.261 353249367.582 1093582115.050 926972672.776 959467418.705 1174324827.585 727303752.101 677932281.810 130441965.952 -62372292.990 66067817.508 375918193.564 172177086.557 124132936.450 340786250.955 266773947.405 263339198.349 33668884.577 24320228.850 720865256.991 542373197.092 611514385.063 270563029.998 153068582.913 287504371.191 310665339.015 
26 -1.0000 -1.0000 -1.0000 -1.0000 0.0000 0.6667 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2485793833.688 2322656345.463 151682296.261 353249367.582 1093582115.050 926972672.776 959467418.705 1174324827.585 727303752.101 677932281.810 130441965.952 -62372292.990 66067817.508 375918193.564 172177086.557 124132936.450 340786250.955 266773947.405 263339198.349 33668884.577 24320228.850 720865256.991 542373197.092 611514385.063 270563029.998 153068582.913 287504371.191 310665339.015 
27 -1.0000 -1.0000 -1.0000 -1.0000 0.0000 1.0000 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2485793833.688 2322656345.463 151682296.261 353249367.582 1093582115.050 926972672.776 959467418.705 1174324827.585 727303752.101 677932281.810 130441965.952 -62372292.990 66067817.508 375918193.564 172177086.557 124132936.450 340786250.955 266773947.405 263339198.349 33668884.577 24320228.850 720865256.991 542373197.092 611514385.063 270563029.998 153068582.913 287504371.191 310665339.015 
28 -1.0000 -1.0000 -1.0000 -1.0000 0.3333 -1.0000 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2314568408.264 2443609319.403 651159270.556 237018191.602 999863796.706 1057108005.904 1297339437.064 1159567387.696 535044198.911 766608245.887 138817087.730 207174031.074 106268144.076 263144624.222 231175372.864 143342943.038 285810288.704 265217309.888 300772439.814 170904695.510 87897686.768 639854514.094 530642734.061 462709091.059 224690560.109 160360298.785 302187139.121 419710232.712 
29 -1.0000 -1.0000 -1.0000 -1.0000 0.3333 -0.6667 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2314568408.264 2443609319.403 651159270.556 237018191.602 999863796.706 1057108005.904 1297339437.064 1159567387.696 535044198.911 766608245.887 138817087.730 207174031.074 106268144.076 263144624.222 231175372.864 143342943.038 285810288.704 265217309.888 300772439.814 170904695.510 87897686.768 639854514.094 530642734.061 462709091.059 224690560.109 160360298.785 302187139.121 419710232.712 
30 -1.0000 -1.0000 -1.0000 -1.0000 0.3333 -0.3333 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2314568408.264 2443609319.403 651159270.556 237018191.602 999863796.706 1057108005.904 1297339437.064 1159567387.696 535044198.911 766608245.887 138817087.730 207174031.074 106268144.076 263144624.222 231175372.864 143342943.038 285810288.704 265217309.888 300772439.814 170904695.510 87897686.768 639854514.094 530642734.061 462709091.059 224690560.109 160360298.785 302187139.121 419710232.712 
31 -1.0000 -1.0000 -1.0000 -1.0000 0.3333 0.0000 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2314568408.264 2443609319.403 651159270.556 237018191.602 999863796.706 1057108005.904 1297339437.064 1159567387.696 535044198.911 766608245.887 138817087.730 207174031.074 106268144.076 263144624.222 231175372.864 143342943.038 285810288.704 265217309.888 300772439.814 170904695.510 87897686.768 639854514.094 530642734.061 462709091.059 224690560.109 160360298.785 302187139.121 419710232.712 
32 -1.0000 -1.0000 -1.0000 -1.0000 0.3333 0.3333 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2314568408.264 2443609319.403 651159270.556 237018191.602 999863796.706 1057108005.904 1297339437.064 1159567387.696 535044198.911 766608245.887 138817087.730 207174031.074 106268144.076 263144624.222 231175372.864 143342943.038 285810288.704 265217309.888 300772439.814 170904695.510 87897686.768 639854514.094 530642734.061 462709091.059 224690560.109 160360298.785 302187139.121 419710232.712 
33 -1.0000 -1.0000 -1.0000 -1.0000 0.3333 0.6667 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2314568408.264 2443609319.403 651159270.556 237018191.602 999863796.706 1057108005.904 1297339437.064 1159567387.696 535044198.911 766608245.887 138817087.730 207174031.074 106268144.076 263144624.222 231175372.864 143342943.038 285810288.704 265217309.888 300772439.814 170904695.510 87897686.768 639854514.094 530642734.061 462709091.059 224690560.109 160360298.785 302187139.121 419710232.712 
34 -1.0000 -1.0000 -1.0000 -1.0000 0.3333 1.0000 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2314568408.264 2443609319.403 651159270.556 237018191.602 999863796.706 1057108005.904 1297339437.064 1159567387.696 535044198.911 766608245.887 138817087.730 207174031.074 106268144.076 263144624.222 231175372.864 143342943.038 285810288.704 265217309.888 300772439.814 170904695.510 87897686.768 639854514.094 530642734.061 462709091.059 224690560.109 160360298.785 302187139.121 419710232.712 
35 -1.0000 -1.0000 -1.0000 -1.0000 0.6667 -1.0000 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2462318964.883 2360919226.076 729635333.550 442870765.659 730819914.274 384362245.390 1011436000.239 1120425908.591 535383981.020 678470466.328 125455534.618 150582872.906 34063549.731 229738162.955 291972268.297 236117636.628 262721999.760 414900188.201 371101438.652 230041719.254 42395080.591 554943306.022 479311044.475 524054000.212 283552140.752 106281510.467 382956678.324 371990453.769 
36 -1.0000 -1.0000 -1.0000 -1.0000 0.6667 -0.6667 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2462318964.883 2360919226.076 729635333.550 442870765.659 730819914.274 384362245.390 1011436000.239 1120425908.591 535383981.020 678470466.328 125455534.618 150582872.906 34063549.731 229738162.955 291972268.297 236117636.628 262721999.760 414900188.201 371101438.652 230041719.254 42395080.591 554943306.022 479311044.475 524054000.212 283552140.752 106281510.467 382956678.324 371990453.769 
37 -1.0000 -1.0000 -1.0000 -1.0000 0.6667 -0.3333 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2462318964.883 2360919226.076 729635333.550 442870765.659 730819914.274 384362245.390 1011436000.239 1120425908.591 535383981.020 678470466.328 125455534.618 150582872.906 34063549.731 229738162.955 291972268.297 236117636.628 262721999.760 414900188.201 371101438.652 230041719.254 42395080.591 554943306.022 479311044.475 524054000.212 283552140.752 106281510.467 382956678.324 371990453.769 
38 -1.0000 -1.0000 -1.0000 -1.0000 0.6667 0.0000 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2462318964.883 2360919226.076 729635333.550 442870765.659 730819914.274 384362245.390 1011436000.239 1120425908.591 535383981.020 678470466.328 125455534.618 150582872.906 34063549.731 229738162.955 291972268.297 236117636.628 262721999.760 414900188.201 371101438.652 230041719.254 42395080.591 554943306.022 479311044.475 524054000.212 283552140.752 106281510.467 382956678.324 371990453.769 
39 -1.0000 -1.0000 -1.0000 -1.0000 0.6667 0.3333 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2462318964.883 2360919226.076 729635333.550 442870765.659 730819914.274 384362245.390 1011436000.239 1120425908.591 535383981.020 678470466.328 125455534.618 150582872.906 34063549.731 229738162.955 291972268.297 236117636.628 262721999.760 414900188.201 371101438.652 230041719.254 42395080.591 554943306.022 479311044.475 524054000.212 283552140.752 106281510.467 382956678.324 371990453.769 
40 -1.0000 -1.0000 -1.0000 -1.0000 0.6667 0.6667 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2462318964.883 2360919226.076 729635333.550 442870765.659 730819914.274 384362245.390 1011436000.239 1120425908.591 535383981.020 678470466.328 125455534.618 150582872.906 34063549.731 229738162.955 291972268.297 236117636.628 262721999.760 414900188.201 371101438.652 230041719.254 42395080.591 554943306.022 479311044.475 524054000.212 283552140.752 106281510.467 382956678.324 371990453.769 
41 -1.0000 -1.0000 -1.0000 -1.0000 0.6667 1.0000 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2462318964.883 2360919226.076 729635333.550 442870765.659 730819914.274 384362245.390 1011436000.239 1120425908.591 535383981.020 678470466.328 125455534.618 150582872.906 34063549.731 229738162.955 291972268.297 236117636.628 262721999.760 414900188.201 371101438.652 230041719.254 42395080.591 554943306.022 479311044.475 524054000.212 283552140.752 106281510.467 382956678.324 371990453.769 
42 -1.0000 -1.0000 -1.0000 -1.0000 1.0000 -1.0000 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2288316645.991 2398331662.732 565281390.734 483500670.577 1033164562.755 883450436.923 1062373279.438 888276846.374 506329406.996 557708959.980 218769474.738 120933254.152 58433729.533 196235491.925 201130413.557 100948191.589 279674537.310 305122680.450 238123570.294 174480734.753 119790799.307 544563876.738 493561336.794 450430644.446 295064704.000 154838786.291 323936259.038 346377817.982 
43 -1.0000 -1.0000 -1.0000 -1.0000 1.0000 -0.6667 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2288316645.991 2398331662.732 565281390.734 483500670.577 1033164562.755 883450436.923 1062373279.438 888276846.374 506329406.996 557708959.980 218769474.738 120933254.152 58433729.533 196235491.925 201130413.557 100948191.589 279674537.310 305122680.450 238123570.294 174480734.753 119790799.307 544563876.738 493561336.794 450430644.446 295064704.000 154838786.291 323936259.038 346377817.982 
